Title,Year,Movie ID,Director,Stars,Votes
ZR- 7 AKA The Red House Seven,2011,tt1965309,Olufemi Ogunsanwo,"('Udoka Oyeka', 'Yakubu Abashiya', 'Ayinla Abdulaheem', 'Fakiyesi Ayotola', 'Ubandawaki Basit')",8
Just Peck,2009,tt1230387,Michael A. Nickles,"('Keir Gilchrist', 'Marcia Cross', 'Adam Arkin', 'Camryn Manheim')",6
Frolf: The Movie,2009,tt1478482,John Holloway,"('Justin Anselmi', 'John Holloway', 'Karen Brelsford', 'Michael Briody')",7.5
Stargirl,2011,tt2771206,Nigel Cousins,"('Heidi Parsons', 'Salvi De Sena', 'Harry Acton', 'Faye Chinery')",7.5
"LSD: Love, Sex Aur Dhokha",2010,tt1608777,Dibakar Banerjee,"('Nushrratt Bharuccha', 'Ashish Chhipa', 'Anshuman Jha', 'Neha Chauhan')",7.2
Listen to Your Heart,2010,tt1274296,Matt Thompson,"('Alexia Rasmussen', 'Kent Moran', 'Cybill Shepherd', 'Shirley Knight')",6.9
18 Years Later,2010,tt1433802,Edoardo Leo,"('Marco Bonini', 'Edoardo Leo', 'Sabrina Impacciatore', 'Eugenia Costantini')",6.8
Fast Romance,2011,tt1504385,Carter Ferguson,"('Neo Akram', 'Dave Anderson', 'Matthew Barr', 'Jennifer Bates')",5.4
Crave,2012,tt2536006,Monaliza Viktoriya Stesina,"('Shannon Brown', 'Danielle Christine Miller', 'Katie Marie Bailey', 'Sam Raysby')",6.8
Amity,2012,tt2455776,Alejandro Adams,"('Greg Cala', 'Michael Uimari', 'Marya Murphy', 'Beth Bemis')",8.2
Rehearsal,2011,tt1730236,Dan O'Hare,"('Timothy M. Mather', 'Traven Rice', ""Caroline O'Hare"", 'Jesse Jones')",8.4
Four Twenty,2012,tt2399900,Jake McDowell,"('MacKenzie Boyd-Garrison', 'Aaron Dake', 'Kyle Bell', 'Olivia Lynch')",8.5
Las Angeles,2010,tt1206083,Gerardo Flores Villarreal,"('Gerardo Celasco', 'Silvana Arias', 'Luis Chávez', 'Patricia Rae')",8.2
My Amnesia Girl,2010,tt1783350,Cathy Garcia-Molina,"('John Lloyd Cruz', 'Toni Gonzaga', 'Carlos Agassi', 'Ketchup Eusebio')",6.6
Old Dogs,2009,tt0976238,Walt Becker,"('Robin Williams', 'John Travolta', 'Seth Green', 'Kelly Preston')",5.3
Goodbye Promise,2012,tt1528226,David Branin,"('Gregor Collins', 'Sarah Prikryl', 'Todd Cattell', 'Karen Worden')",7.5
Shadow,2009,tt1425253,Federico Zampaglione,"('Jake Muxworthy', 'Karina Testa', 'Ottaviano Blitch', 'Chris Coppola')",5.4
Creed,2010,tt1632705,Stan Harrington,"('Kely McClung', 'Amy Sanders', 'Christian Delevante', 'Stan Harrington', 'Rick Peters')",7.2
Bicycle Lane,2009,tt1326195,Jeffrey Ruggles,"('Jason Abraham', 'Donald Ian Black', 'Allison Breckenridge', 'Jessica Brooke')",8
Eliminate: Archie Cookson,2012,tt1657274,Rob Holder,"('Paul Rhys', 'Claire Skinner', 'Georgia King', 'Paul Ritter')",6.6
The Sessions,2012,tt1866249,Ben Lewin,"('John Hawkes', 'Helen Hunt', 'William H. Macy', 'Moon Bloodgood')",7.2
Tom Cool,2009,tt0417205,Ron Carlson,"('Mila Kunis', 'Nicki Aycox', 'Dian Bachar', 'Priscilla Barnes')",5.5
Cold Blue Eternal,2011,tt1943675,Ian J. Keeney,"('Todd Pate', 'Vicky Pezza', ""Kevin O'Heron"", 'Arnold A. Sidney Jr.')",5.6
Highschool in Less Than 54 Hours,2011,tt2507120,Adrian Popovici,"('Karl Baker', 'Ioana Blaj', 'Claudiu Bleont', 'Costel Cascaval')",5.1
Two Hands to Mouth,2012,tt2173256,Michael DeCarlo,"('Warren Belle', 'Miranda Calderon', 'Conrad Coates', 'Ernie Grunwald')",5.3
Picture This,2009,tt1373205,John Fisk,"('Victoria Hill', 'Drayton Morley', 'Luke Rex', 'James Studdert')",8
Bolts & Blip: Battle of the Lunar League,2012,tt3341536,Tim Deacon,"('Peter Lepeniotis', 'Young Kyun Park', 'Jeong-ho Choi', 'Yoo Ho-han', 'Kim Il', 'Won-jang Lee')",6
Red Dog,2011,tt0803061,Kriv Stenders,"('Josh Lucas', 'Rachael Taylor', 'Rohan Nichol', 'Luke Ford')",7.3
